height,weight,male
168,62,1
156,85,0
165,64,0
169,82,1
156,56,0
151,67,0
157,93,0
178,95,1
158,71,0
164,68,0
169,80,0
173,60,1
165,60,1
158,78,0
181,95,1
172,112,1
170,75,0
158,52,0
154,68,0
162,56,1
163,83,1
157,69,0
158,90,0
156,45,1
170,68,0
153,65,0
156,59,0
159,78,0
166,66,1
169,74,1
155,105,0
169,71,0
159,60,0
160,73,0
173,82,1
163,55,0
175,95,1
164,70,0
162,72,1
165,70,0
157,62,0
178,68,0
171,69,1
159,63,1
154,50,0
162,64,0
162,107,0
168,69,1
175,70,1
170,69,0
160,75,0
169,84,0
166,85,1
165,77,0
152,79,0
165,73,1
171,76,0
165,90,0
172,84,1
164,64,0
159,58,0
165,75,1
187,115,1
170,85,0
169,71,1
148,80,0
170,69,1
171,97,1
152,76,0
157,53,0
155,57,0
179,95,1
156,58,0
157,77,0
180,90,1
158,75,0
188,105,1
160,68,0
173,82,0
164,74,1
159,49,0
155,64,0
158,75,0
152,110,0
178,93,0
156,55,0
156,75,0
166,94,1
151,92,0
172,87,1
160,82,0
164,103,0
173,76,1
168,80,1
185,88,1
158,53,0
165,65,1
165,99,0
170,100,1
167,71,0
171,61,1
167,80,0
168,77,0
183,95,1
170,72,0
168,78,1
162,60,1
164,48,1
174,54,1
157,51,0
168,75,1
159,78,1
158,78,0
157,79,0
167,84,0
160,57,1
180,84,1
160,90,0
173,75,1
156,63,0
156,71,0
174,77,1
170,70,0
167,66,0
165,65,0
153,47,1
170,66,0
152,67,0
176,74,0
159,84,0
169,59,1
170,65,1
164,84,1
160,57,1
174,90,1
161,67,0
153,50,0
184,82,1
156,60,0
170,60,0
158,55,0
165,55,0
169,73,1
169,58,1
178,91,1
152,57,0
160,90,0
166,69,1
164,70,0
162,71,0
167,82,1
160,67,0
169,79,1
168,72,1
167,80,0
168,62,0
159,73,0
169,87,1
157,69,0
154,67,0
180,104,1
165,66,0
158,72,0
153,73,0
171,70,1
148,53,0
170,68,0
160,60,0
165,70,0
170,70,0
165,68,0
153,78,0
169,64,0
172,94,1
180,70,0
158,58,0
177,81,0
170,69,1
170,60,0
171,98,1
153,63,0
165,65,1
174,74,1
148,50,0
155,74,0
157,51,1
169,55,1
175,53,1
165,67,0
182,75,1
169,68,1
172,55,0
162,59,1
185,94,1
162,62,0
174,88,1
176,108,0
171,71,1
183,85,1
170,67,0
165,70,0
158,58,0
167,79,0
166,63,1
157,55,0
168,65,0
156,60,1
161,68,0
183,92,1
172,62,1
169,75,1
159,57,0
162,105,0
154,64,0
170,95,1
173,73,1
160,88,0
167,68,1
158,70,0
164,67,0
164,57,0
157,70,0
158,83,0
165,70,0
76,55,1
156,65,0
166,70,1
168,68,0
183,98,1
169,65,1
175,75,1
168,72,1
173,75,1
185,81,1
149,60,0
170,68,1
158,69,0
180,90,1
153,60,0
170,65,0
170,82,1
157,60,1
179,79,1
154,56,0
162,66,1
161,85,0
172,73,1
160,63,0
158,53,1
142,61,0
160,89,1
159,79,0
175,70,0
156,93,0
168,69,0
172,87,0
158,78,0
170,90,0
161,72,0
165,100,0
150,83,0
154,98,0
160,55,0
165,80,0
154,54,0
150,67,0
153,49,0
165,115,0
160,89,0
170,69,1
168,84,1
149,50,0
166,58,0
162,74,0
178,78,1
157,80,0
169,68,0
169,70,0
150,55,0
159,85,1
152,72,0
160,76,0
159,95,0
176,82,1
155,65,0
163,68,1
170,115,1
159,101,0
163,65,0
149,56,0
154,62,0
159,79,0
157,63,0
152,54,0
158,56,0
170,76,1
169,76,1
173,70,1
160,70,0
173,85,1
167,72,1
178,80,0
160,52,1
171,74,1
185,105,1
181,99,1
157,100,0
160,60,1
166,78,0
162,87,0
166,105,0
169,69,0
161,75,0
167,92,1
165,65,0
156,50,0
158,73,0
170,68,0
170,101,1
164,80,0
159,51,0
165,62,0
170,65,0
165,90,0
172,86,1
167,74,0
174,63,1
170,65.5,1
154,78,0
176,63,0
160,58,1
160,85,1
160,68,1
160,60,0
169,86,1
162,57,0
173,99,0
160,70,0
157,142,0
159,97,0
170,68,0
182,91,1
165,70,0
172,104,0
170,81,0
154,81,0
175,89,1
173,86,1
174,84,1
154,75,0
175,80,0
153,69,0
175,85,1
156,60,0
169,70,1
158,73,0
166,78,1
163,69,0
165,65,0
173,96,1
144,44,0
170,84,1
168,72,1
175,76,0
167,69,0
169,87,1
166,71,0
160,83,0
166,90,1
160,58,0
160,74,0
173,93,1
172,71,1
158,68,0
158,74,0
170,69,1
160,60,1
158,84,0
168,75,1
163,67,0
152,60,0
164,55,0
148,61,0
147,41,0
164,81,1
171,74,1
167,78,0
162,74,0
158,52,1
165,169,1
170,116,0
144,59,0
175,65,1
163,108,0
162,89,0
160,78,1
164,75,0
164,86,0
163,82,0
156,68,0
150,62,0
175,75,0
164,75,0
156,88,0
158,71,0
157,94,0
155,69,0
162,70,1
168,70,0
163,75,0
163,70,0
164,50,0
153,77,0
156,55,0
156,95,0
170,78,1
161,72,0
158,70,0
157,72,0
164,86,0
160,73,0
159,86,0
162,93,0
157,86,0
165,64,0
182,91,1
158,80,0
160,55,0
158,53,0
156,74,0
165,69,0
164,78,1
165,47,0
160,62,0
176,95,1
186,200,0
158,65,0
180,84,1
156,82,0
179,64.8,1
163,58,0
147,66,0
175,86,1
162,84,0
167,74,0
177,80,1
178,120,1
156,60,0
160,73,0
171,74,0
162,70,0
169,65,0
167,61,1
180,100,1
152,68,0
152,50,0
160,54,0
159,74,1
176,98,1
160,70,0
157,63,1
156,52,1
175,92,1
156,64,0
166,98,0
162,85,0
175,57,1
172,78,0
170,68,0
160,70,0
165,75,1
164,54,0
171,88,1
150,95,0
156,65,0
165,68,0
164,68,1
152,60,0
165,92,0
170,101,0
159,101,0
158,86,0
174,84,0
164,73,0
160,75,0
172,52,0
160,85,1
158,69,0
147,61,0
167,73,1
170,90,0
149,62,0
168,80,0
159,68,0
161,62,0
150,88,0
151,117,0
151,53,0
162,60,0
168,65,0
166,69,0
168,69,1
