price,number of bedrooms,square footage
40000,6,2612
34000,6,1144
63900,5,1136
44000,5,1868
46000,6,1780
56000,6,1700
38500,6,1556
60500,8,1642
55000,5,1443
39000,6,1439
41000,5,1482
50900,6,1290
52000,6,1274
49000,6,1476
80000,7,1838
50000,6,1536
59000,5,2458
42000,4,750
71500,5,2106
43000,4,1000
48000,6,1410
37500,7,2346
59000,6,1215
59000,6,2128
94000,7,2290
95920,7,2464
95000,7,2240
95900,7,2464
91000,7,2240
96900,7,2464
47000,8,2576
68500,6,1377
36000,6,2071
90000,7,2352
66900,10,1750
44000,6,1869
43500,6,1490
40000,5,1867
46000,7,1261
48000,5,1038
61000,7,1800
55500,6,1972
63000,6,2089
32000,6,1464
32000,6,2112
82000,6,1964
51000,5,1166
83000,6,3861
100000,7,2252
131500,9,2598
37500,4,2276
49000,6,1875
54000,6,1570
56900,6,2032
62000,6,1318
48000,5,1078
48000,7,3460
53000,5,1592
49000,8,915
31000,5,925
56900,6,1421
34000,5,990
98000,9,3792
85500,7,2544
122500,7,2206
185000,9,5078
67500,5,1358
120000,7,2171
79000,7,1998
77500,7,1998
58000,6,1356
61900,9,1411
79900,7,1540
62400,7,1296
89500,7,2240
89500,7,2436
94900,7,2384
85900,6,1862
92900,7,2036
84900,7,2082
85900,7,1962
85900,7,2286
97900,7,2464
78400,6,1862
91400,8,2738
106500,7,2240
109500,7,2780
148000,7,2781
75000,6,1537
90400,7,2796
125000,9,2794
123000,9,2872
63000,6,1357
87500,7,3256
73000,7,2038
84900,7,1924
80900,7,2370
94000,7,2036
74500,7,1818
82500,7,1986
86000,6,1855
76900,6,1836
75900,7,1836
75500,7,1820
75000,7,1728
73900,6,2092
83900,7,2036
76900,7,2400
84300,7,2104
75900,7,1928
87900,7,2067
65000,7,1360
90000,7,1940
104500,7,2816
63000,6,1235
66100,7,1388
60000,7,1070
73000,7,1390
83000,9,2574
70500,6,1232
120000,6,2650
62500,6,1978
65500,6,1248
84900,7,1716
63400,6,1144
80000,7,2450
86000,7,2952
94376,7,2800
90500,7,2108
90500,7,2208
84900,7,1560
86000,7,2248
91500,7,2284
89912,7,2632
88000,7,2632
73500,6,1936
85000,8,2004
87000,7,1920
97000,7,2136
72500,7,2472
77000,7,1792
85000,7,2136
82000,8,2016
93000,6,2514
105000,7,2432
106500,7,2878
44900,5,960
73000,7,1868
46500,6,1296
50000,6,1668
90000,7,2052
49500,6,1100
57000,5,1320
120000,6,3030
83500,6,1924
300000,7,3770
64900,7,2856
50900,5,930
60500,6,1399
70400,5,1342
48000,6,1500
53500,7,1333
66000,6,1844
64000,6,1764
65000,7,2727
72900,7,2080
26000,7,2030
117000,7,3030
97000,7,2252
95000,7,2238
107900,7,2464
120000,7,2464
120000,7,2502
121000,7,2510
107000,7,2012
119900,7,2352
142500,7,2492
84211,7,2756
49000,6,1554
52000,5,1575
68000,6,3304
54000,6,1700
70000,6,1454
47000,6,1410
73900,6,1592
117500,9,1910
60000,5,735
85000,6,1154
66479,5,1104
70000,6,1830
66500,5,1166
91000,7,2263
72500,6,1482
67000,4,970
68000,6,1684
85000,6,1080
106000,6,1633
130000,7,3208
119900,7,2258
125000,7,2016
118000,7,1991
100000,7,1746
128000,7,2700
140000,7,2302
143500,6,2144
66500,5,1867
50000,5,1140
65000,5,912
86000,6,1425
120000,9,3798
135000,7,2252
135000,7,2252
160000,7,2836
168000,7,2486
182095,7,3074
175000,7,3074
162000,7,3232
189857,7,3396
190508,7,2464
234552,7,3252
220000,7,3040
175000,7,3055
118000,7,1731
155000,9,2996
144000,7,2464
216000,7,2548
124500,6,3398
80000,6,1988
100000,7,5136
88000,6,2327
41000,6,936
66000,7,1674
74000,5,1587
76900,5,1531
132000,7,2574
130000,7,2644
75000,6,1456
156500,7,2464
140000,8,2400
65000,6,1760
150000,6,3132
155000,7,2688
153000,7,2656
160000,7,2738
148000,7,2736
142000,8,3726
162000,7,2656
175500,8,3284
194000,9,3170
130500,6,2330
73000,6,1564
140000,6,2248
82000,6,1566
180000,7,2744
200000,7,2470
52900,6,1199
110000,6,2204
68000,7,2400
90000,7,3152
102000,7,3152
119600,7,2701
113500,7,2000
80500,7,1286
75900,6,1344
109000,6,1232
160000,7,4056
120000,7,2364
135900,7,2377
121000,7,2706
85000,6,1978
133000,7,2756
143000,7,2576
130000,7,2528
135000,7,2464
141000,7,2920
125000,7,2548
172900,7,2580
177755,7,2738
125000,7,2208
173500,7,2900
169000,7,3292
167950,6,2472
145000,7,2569
159900,7,2464
172267,7,2826
156900,7,2464
169900,7,2832
129900,7,2056
109900,7,2632
120000,6,2528
140000,6,1800
83000,6,1182
175000,7,2738
117500,8,2016
155500,7,2610
158000,7,2627
115000,6,1848
133500,7,2648
128000,7,2464
105000,7,1998
90000,6,1549
270000,7,3334
70000,6,1526
98000,6,1197
103900,7,1836
101100,7,2856
107900,7,1836
62000,6,1133
96750,7,1242
79500,5,2216
97900,7,1226
103900,7,1910
70000,6,1728
175000,6,1842
80000,5,2384
60000,6,1388
144500,7,3140
97000,6,1296
95000,5,1148
204080,7,2261
