wkearns,wkhours,outphr
123.43,40,53.3
127.84,39.4,54.2
133.83,39.8,57.7
134.87,39.9,59.4
138.47,39.9,60.7
144.58,39.6,62.1
145.32,39.1,63
153.21,39.6,64.8
157.9,39.3,65.2
158.04,38.8,66.5
157.4,38.5,68
163.78,39,70.2
164.97,38.6,71
167.21,38.6,73.2
172.16,38.7,75.6
175.17,38.8,78.3
178.38,38.7,81.4
183.21,38.8,83.4
184.37,38.6,85.2
184.83,38,87.1
187.68,37.8,89.4
189.44,37.7,89
186.94,37.1,89.3
190.58,36.9,91.9
198.41,37,94.7
198.35,36.9,96.4
190.12,36.5,94.3
184.16,36.1,96
186.85,36.1,98.5
189,36,100
189.31,35.8,100.8
183.41,35.7,99.3
172.74,35.3,98.8
170.13,35.2,99.8
168.09,34.8,99.2
171.26,35,102.5
172.78,35.2,104.6
170.42,34.9,106.1
171.07,34.8,108.2
169.28,34.8,109
